Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
Drago Padar,0.9545454545454546,31.5,7.3,0.4,2.0,2.2,8.5,1.4,1.1,0.4,1.0,1.4,16.9,15.8,0.591,163.0,0
Sherwood Crisp,1.0,32.5,6.5,0.1,3.6,3.2,11.9,2.2,1.2,0.4,1.0,3.6,16.7,16.4,0.455,162.0,0
Clint Daly,0.9090909090909091,33.1,6.6,1.4,2.0,0.9,2.8,3.5,0.9,1.2,0.0,0.8,16.6,17.2,0.545,168.0,0
Carlo Giotto,0.8181818181818182,41.2,7.1,0.2,2.3,3.5,14.2,1.9,1.9,0.6,0.8,2.7,16.6,15.9,0.409,83.0,0
Ben Schilling,0.6818181818181818,29.8,6.5,0.2,3.3,1.7,8.3,0.5,1.5,0.5,0.5,1.9,16.6,17.1,0.8640000000000001,475.0,0
Vladimir StankoviÄ,0.8181818181818182,37.7,6.3,0.6,2.9,1.2,5.8,3.7,1.4,0.8,0.7,2.2,16.2,16.1,0.545,88.0,0
Eric Lincoln,0.8181818181818182,40.9,6.5,0.6,2.0,0.6,3.3,4.0,1.3,1.3,0.2,1.7,15.6,15.2,0.409,-148.0,0
Tosun Ãzpeker,0.9090909090909091,31.7,6.2,1.4,1.8,1.1,5.5,2.5,1.0,0.6,0.0,1.8,15.4,14.3,0.545,168.0,0
Maurycy ZiÄtal,0.9090909090909091,32.4,6.4,0.4,2.1,3.2,10.0,1.6,1.0,0.6,1.5,2.6,15.4,17.3,0.727,470.0,5
Otto Laird,0.7272727272727273,39.4,6.2,0.5,2.1,1.9,6.2,4.4,1.1,1.3,0.2,2.3,15.1,15.3,0.409,-148.0,0
Vinicio Soto,0.8636363636363636,33.9,6.2,0.7,2.1,3.4,12.4,2.8,1.3,0.7,0.6,4.0,15.1,17.5,0.591,90.0,4
Andrea Pintore,0.9545454545454546,31.7,6.2,0.3,2.3,2.2,10.7,1.8,1.2,0.4,1.7,3.3,15.0,18.1,0.727,470.0,80
Colby Sanchez,0.7727272727272727,38.1,6.4,0.6,1.5,0.4,3.5,3.6,0.9,0.9,0.2,1.4,14.9,14.4,0.636,225.0,0
Dotan Ben-David,1.0,36.5,5.7,0.4,3.1,2.6,10.0,1.7,2.4,0.6,0.6,3.3,14.9,14.7,0.273,-103.0,0
Olexiy Chernyuk,1.0,45.3,5.5,1.1,2.2,1.1,5.0,6.6,1.7,1.5,0.3,1.2,14.4,14.1,0.273,-103.0,0
Cheng Enli,0.9090909090909091,28.9,6.3,0.0,1.8,3.4,10.5,1.8,1.2,0.8,0.6,1.4,14.4,17.3,0.773,596.0,0
Mike Gilbert,0.7272727272727273,37.5,5.7,0.9,1.9,1.4,5.1,6.1,1.2,0.9,0.1,0.9,14.2,16.8,0.364,-323.0,0
Jamison Akers,0.9545454545454546,27.7,5.5,0.4,2.7,1.3,6.5,2.4,1.2,0.5,0.2,1.4,14.1,15.7,0.8640000000000001,475.0,3
Donardas Folomejevas,0.9545454545454546,39.3,5.7,0.9,1.8,0.8,2.8,4.9,1.0,1.0,0.4,1.4,14.1,15.6,0.409,83.0,0
