Player,GP,MIN,FG,3FG,FT,OR,TR,AST,TO,STL,BLK,PF,PTS,Rating,Win %,PD,MVP Votes
David PÃ©pin,0.8636363636363636,37.6,5.1,0.5,2.1,0.7,3.1,2.7,1.3,0.8,0.1,1.0,12.7,13.1,0.318,-211.0,0
Lilianto Muaziz,1.0,26.9,5.3,0.1,2.0,2.0,8.8,2.7,0.9,1.0,1.3,3.5,12.6,17.7,0.8640000000000001,812.0,56
Jimmy Roberts,0.9545454545454546,35.6,4.3,1.0,3.1,1.3,3.8,5.3,1.6,0.8,0.4,2.2,12.6,12.6,0.273,37.0,0
Kirilas Å cegauskas,1.0,30.3,4.6,0.4,2.5,1.0,4.2,4.3,0.7,0.9,1.0,2.8,12.1,14.8,0.8640000000000001,812.0,0
Steve Sanborn,0.9545454545454546,28.1,4.5,0.1,2.8,2.2,8.0,1.1,1.4,0.6,0.7,2.2,11.9,15.7,0.318,-211.0,0
Lyndon Clevenger,0.8636363636363636,29.2,4.9,0.1,1.9,2.8,11.2,1.4,1.5,0.7,0.8,2.1,11.8,17.5,0.818,540.0,0
ErdinÃ§ Taran,0.8636363636363636,32.2,4.3,0.6,2.6,4.0,13.6,2.2,1.0,0.3,0.6,3.1,11.8,16.7,0.682,381.0,0
Philip Hunter,0.7272727272727273,38.6,4.6,0.3,2.3,0.6,2.4,4.6,1.4,1.3,0.2,2.4,11.8,15.8,0.5,309.0,0
Wang Yourong,0.9545454545454546,42.6,10.0,0.4,4.0,3.5,16.2,4.1,1.5,1.3,0.6,4.1,24.2,19,0.818,842.0,0
Arthur Glass,0.9090909090909091,35.9,8.9,2.2,2.1,0.6,3.1,3.8,0.8,1.2,0.2,1.6,22.2,18,0.682,306.0,25
Andrea Prestandrea,0.8181818181818182,39.5,8.8,0.2,3.7,3.4,13.2,2.0,2.1,0.7,0.9,3.1,21.6,16.5,0.455,-109.0,0
Sol Fisher,0.7272727272727273,36.0,9.0,0.6,2.2,1.6,6.1,2.9,1.1,0.9,0.3,2.3,20.8,14.1,0.591,216.0,0
Joel Gomez,0.7727272727272727,29.1,7.6,2.0,2.5,0.8,2.9,2.5,1.0,0.9,0.2,0.2,19.6,18,0.045,-1403.0,0
Kimmo Varelius,0.6818181818181818,34.9,7.7,1.3,2.7,1.4,4.7,3.9,1.0,0.9,0.4,2.3,19.3,16.9,0.682,306.0,0
Marlon Minor,0.7272727272727273,36.8,8.2,0.5,1.8,1.1,4.4,2.4,1.8,0.9,0.1,2.1,18.8,16.2,0.591,216.0,0
Aubrey Bliss,0.9545454545454546,33.4,7.6,1.0,2.4,3.3,12.1,2.5,1.3,1.3,0.7,1.7,18.6,16.4,0.5,164.0,0
Evgeny Bortnikov,0.9545454545454546,35.4,7.5,1.2,2.1,1.1,5.2,2.3,1.6,1.3,0.6,1.0,18.3,15.4,0.5,198.0,0
Daron Davis,0.8181818181818182,35.0,7.6,0.6,2.4,1.2,4.9,2.7,1.2,1.3,0.4,3.2,18.3,14,0.455,-182.0,0
Gianfranco Squaiella,0.8636363636363636,38.8,7.3,0.4,3.1,3.2,11.7,2.5,1.9,0.6,0.9,2.8,18.1,16.8,0.364,-198.0,0
Lorenzo Sawyer,0.8636363636363636,34.9,7.2,1.2,2.4,1.5,6.9,2.8,1.1,1.1,1.7,1.5,17.9,16.9,0.409,-222.0,0
Stuart Vereker,0.9545454545454546,33.4,7.9,0.5,1.6,2.6,10.1,2.6,1.2,1.1,0.8,1.1,17.8,18,0.909,806.0,186
Paul Hogue,0.7727272727272727,33.2,7.3,1.8,1.2,0.3,2.8,2.5,1.3,1.1,0.2,0.8,17.6,14.4,0.455,-182.0,0
Blert Kurtishi,0.9545454545454546,39.1,6.9,0.0,3.4,4.1,15.2,0.0,1.6,0.8,1.0,3.0,17.2,18.2,0.818,842.0,96
Cornelius Eckert,0.9090909090909091,26.1,6.8,0.2,2.9,2.9,10.8,2.2,1.0,0.6,0.8,1.0,16.8,17.5,0.909,806.0,108
Steve Sanborn,0.9090909090909091,34.9,6.6,0.0,3.4,3.2,11.0,1.6,2.8,0.8,1.1,3.0,16.8,15,0.364,-136.0,0
Sergio Obhart,0.8636363636363636,35.8,7.2,0.4,1.9,3.2,10.9,2.1,1.6,0.2,1.1,2.2,16.6,15.5,0.364,-198.0,0
Florentas RamaÅ¡auskas,0.7727272727272727,37.3,7.1,0.1,2.1,3.5,14.8,0.9,1.7,0.2,3.2,2.8,16.4,18.3,0.591,216.0,1
KazimieÅ¾as Cernys,0.9090909090909091,33.0,6.2,0.2,3.6,2.9,11.1,2.6,1.7,0.8,1.4,2.9,16.1,15.7,0.364,-136.0,0
Jamie Peoples,0.9090909090909091,27.3,6.3,0.8,2.6,0.8,3.6,3.7,0.8,0.7,0.6,0.6,16.0,15.2,0.909,806.0,1
Danny Rogers,0.9090909090909091,32.7,6.2,0.6,2.7,2.5,11.0,3.2,1.2,0.4,1.0,3.2,15.7,16.4,0.409,-222.0,0
Sherwood Crisp,0.9090909090909091,31.5,5.8,0.4,3.4,2.6,11.8,1.7,1.2,0.6,0.6,2.4,15.2,15.8,0.591,197.0,0
Dai Dejie,0.8636363636363636,36.5,6.5,0.5,1.7,1.5,6.4,2.7,1.1,1.2,0.7,0.8,15.2,15.6,0.364,-136.0,0
Lorenzo Wuidar,0.9545454545454546,30.6,5.8,0.7,2.8,2.1,6.9,2.7,1.0,0.9,1.7,2.0,15.1,14.8,0.818,842.0,0
Nino Katsios,0.9090909090909091,28.6,5.8,0.2,2.8,2.8,10.2,1.8,0.6,0.8,0.9,2.3,14.7,17,0.5,198.0,0
Chen Ziquan,0.9090909090909091,37.5,6.4,0.2,1.6,3.3,14.0,3.0,1.8,0.4,0.8,1.8,14.7,16.3,0.455,-109.0,0
Fredrick Gomez,0.8636363636363636,31.1,5.8,0.3,2.6,2.4,12.4,2.3,2.1,0.3,1.2,1.5,14.6,17.9,0.909,806.0,38
Alfredas Kijajevas,0.9545454545454546,35.9,6.0,0.9,1.9,0.4,2.0,3.9,1.2,1.0,0.4,1.0,14.6,15.5,0.5,198.0,0
Wilbert Kramer,0.8636363636363636,36.6,5.2,0.7,3.4,0.7,2.7,7.2,1.3,1.6,0.3,1.7,14.6,17,0.591,197.0,0
Abba Kattani,0.8181818181818182,32.2,5.9,0.4,2.0,3.1,8.3,2.1,2.3,0.9,0.6,2.2,14.3,13.4,0.318,-216.0,0
Efelau Retuerta,0.9545454545454546,25.5,6.0,0.6,1.9,1.7,5.4,3.1,0.5,0.6,1.2,1.9,14.3,17.2,0.818,875.0,4
Merwin Coloyan,0.8181818181818182,36.2,5.7,0.3,2.4,2.0,9.9,1.9,1.9,0.5,0.9,3.2,14.2,15.7,0.409,-222.0,0
Anton Georgiev,0.6818181818181818,33.4,5.5,0.3,2.9,2.5,9.1,1.6,1.9,0.3,0.6,3.5,14.2,13.4,0.318,-216.0,0
Philip Hunter,1.0,38.5,5.5,0.4,2.8,0.7,3.1,6.1,1.3,1.5,0.2,2.4,14.1,16.4,0.818,842.0,13
Jair RodrÃ­guez,0.8636363636363636,30.8,5.4,0.9,2.2,2.1,10.1,1.6,1.2,1.1,0.6,2.2,13.9,16.5,0.682,306.0,0
Jimmy FjÃ¤llborg,0.9090909090909091,30.2,5.6,0.5,2.1,2.4,9.5,1.4,1.2,0.2,1.0,2.0,13.9,15.6,0.591,197.0,0
Rex Schmitz,0.9090909090909091,29.7,6.0,0.6,1.4,2.6,9.2,2.5,1.0,0.6,0.6,1.8,13.9,15.3,0.5,164.0,0
Krasimir Rusetzki,0.6818181818181818,24.5,5.7,0.7,1.7,0.4,2.4,2.4,0.3,1.1,1.1,1.5,13.9,16.7,0.818,875.0,0
Larry Dunham,0.9545454545454546,33.8,5.2,0.2,3.1,1.6,5.9,2.7,1.7,0.8,0.1,1.9,13.8,15.4,0.5,164.0,0
Joseph Hamel,0.9545454545454546,27.7,5.6,0.4,2.2,2.0,7.9,0.7,1.4,0.5,0.7,1.6,13.8,14.9,0.591,197.0,0
Francesco Bernocchi,0.7272727272727273,29.2,5.4,0.1,2.8,2.0,8.6,0.4,1.6,0.2,1.2,1.5,13.8,15.8,0.364,-136.0,0
Kosmas Miliokas,0.9545454545454546,36.1,5.4,0.4,2.4,0.4,2.3,6.7,0.7,1.4,0.4,1.3,13.7,13.5,0.818,842.0,0
Jonathan Battle,0.8636363636363636,32.1,5.3,0.4,2.6,0.7,3.6,3.7,0.8,0.8,0.2,2.2,13.7,15,0.591,197.0,0
William Hutson,0.7727272727272727,35.8,5.4,0.8,2.2,1.4,9.2,1.4,1.1,0.8,0.5,4.2,13.6,15.6,0.455,-182.0,0
Lee Atkins,0.9545454545454546,30.5,5.7,0.3,2.0,0.9,4.1,4.4,1.1,1.3,0.3,0.6,13.6,15.6,0.909,806.0,5
Jack Kendall,0.7727272727272727,30.8,4.7,1.8,2.3,0.8,2.9,2.9,1.1,1.0,0.3,3.1,13.5,14.5,0.455,-182.0,0
Gerhard Echave,0.9545454545454546,26.9,5.5,0.7,1.8,1.8,6.4,2.7,0.7,0.8,1.1,1.4,13.4,15.6,0.818,875.0,5
Lee Sheffield,0.9545454545454546,30.4,5.6,0.0,2.2,3.1,11.1,0.0,1.2,0.1,0.7,3.2,13.4,15.7,0.5,164.0,0
IÃ±igo Roberto Tisico,0.8181818181818182,34.1,5.0,0.9,2.4,0.8,3.9,3.9,1.1,1.1,0.5,0.7,13.3,13.7,0.409,-222.0,0
Danny Rogers,0.7727272727272727,41.3,13.5,1.8,5.4,4.0,14.1,2.5,1.6,1.2,1.2,2.5,34.2,16.7,0.318,-678.0,5
Dai Dejie,0.8636363636363636,39.5,8.6,0.3,3.1,1.7,7.1,3.2,1.1,0.8,0.7,0.8,20.5,15.9,0.364,-30.0,0
Arthur Glass,1.0,33.3,8.2,2.3,1.6,0.6,2.9,3.5,1.0,1.5,0.2,1.6,20.3,18,0.955,865.0,178
Yetis Esentimur,0.8181818181818182,41.9,8.2,0.4,2.4,2.1,8.9,1.2,1.8,1.2,0.7,1.4,19.3,11.6,0.455,10.0,0
Sol Fisher,0.9545454545454546,42.2,7.4,0.9,3.5,1.2,6.1,1.5,3.6,0.6,0.2,2.4,19.2,8.7,0.136,-1352.0,0
Darrell Starkey,1.0,35.1,8.0,0.5,2.3,3.4,9.0,2.0,0.9,1.2,0.8,1.4,18.9,14.9,0.636,550.0,2
Aubrey Bliss,1.0,33.4,8.1,0.4,2.0,3.8,12.7,3.4,1.0,1.2,0.2,1.8,18.6,15.9,0.409,248.0,0
Eli Yazzie,0.6818181818181818,37.5,7.3,1.7,2.3,1.2,4.6,5.0,0.7,1.1,2.0,1.5,18.5,17.2,0.5,266.0,0
Peter Mathiasson,0.9090909090909091,30.4,7.6,0.8,2.4,1.0,3.4,3.1,1.2,1.1,0.2,2.8,18.4,16.4,0.636,550.0,0
Francesco Bernocchi,0.8636363636363636,38.9,7.3,0.1,3.6,4.1,13.7,0.4,1.7,0.5,1.9,2.6,18.3,15.7,0.364,-30.0,0
Stuart Vereker,0.9090909090909091,29.7,7.8,0.2,1.7,2.6,11.4,1.7,1.2,0.4,1.0,0.9,17.6,17.7,0.727,568.0,56
Ashraf Hafidi,0.7727272727272727,36.3,6.6,0.2,3.5,4.2,14.5,2.2,1.4,0.8,0.7,3.1,16.8,16,0.682,163.0,0
IsmaÃ«l Laval,0.8181818181818182,34.5,6.4,0.6,3.1,1.2,4.3,3.8,0.9,1.0,0.2,3.1,16.6,14.7,0.455,10.0,0
Steve Sanborn,0.8636363636363636,34.2,6.6,0.2,3.2,2.6,10.8,1.9,1.9,1.0,1.2,2.4,16.6,14.8,0.364,-30.0,0
Larry Dunham,1.0,32.1,6.5,0.5,3.0,1.7,5.9,2.1,1.0,0.6,0.3,2.0,16.5,15.5,0.409,248.0,0
Daron Davis,0.7272727272727273,29.8,6.8,0.4,2.3,1.6,6.0,2.4,1.0,1.1,0.5,2.8,16.3,15.1,0.5,266.0,0
Pichet Konthai,1.0,34.1,6.7,0.1,2.1,3.8,12.7,2.6,1.4,1.0,1.0,3.4,15.6,16.3,0.636,550.0,53
Stoyan Moskov,1.0,28.8,5.8,1.3,2.5,0.7,2.8,5.2,0.5,1.0,0.5,2.3,15.4,17.4,0.955,865.0,126
Philip Hunter,0.7727272727272727,28.0,5.6,1.2,2.8,0.7,2.1,3.1,0.9,1.2,0.2,1.2,15.4,15.4,0.636,216.0,0
Leonardo PÃ©rez,0.6818181818181818,30.4,6.3,0.7,1.9,3.1,12.0,3.1,1.4,1.3,0.4,1.5,15.2,18,0.727,568.0,0
Evgeny Bortnikov,0.8181818181818182,33.8,5.9,0.7,2.5,1.5,5.4,2.2,1.2,1.4,0.5,1.3,15.1,13.6,0.273,-124.0,0
Jeffrey Milner,0.7727272727272727,34.8,6.2,0.0,2.4,3.8,11.8,1.3,1.3,0.4,0.6,1.1,14.8,15.5,0.682,163.0,0
Paul Hogue,1.0,24.5,6.0,0.9,1.8,0.9,3.1,1.7,0.5,0.8,0.4,1.0,14.6,14.5,0.5,266.0,0
William Hutson,0.7272727272727273,30.1,6.1,0.5,1.9,2.2,10.6,2.6,1.4,0.8,0.5,3.1,14.6,16.9,0.5,266.0,0
Riley Rojas,0.9545454545454546,27.8,5.5,1.3,2.1,0.8,3.5,3.4,0.6,1.1,0.2,1.8,14.4,16,0.955,865.0,2
Romain Detrait,0.9090909090909091,31.8,6.2,0.1,1.8,3.2,10.8,1.4,1.0,0.6,0.9,2.8,14.2,15.9,0.636,550.0,0
Jair RodrÃ­guez,1.0,28.9,5.7,0.6,2.0,2.3,10.0,1.6,1.0,0.8,0.8,2.1,14.0,16.2,0.955,865.0,32
Gerhard Echave,0.8636363636363636,31.2,5.8,0.3,2.1,1.5,6.7,3.5,0.8,0.9,0.8,1.6,13.9,16.1,0.8640000000000001,902.0,0
Steve Pierce,0.7727272727272727,33.6,5.4,0.1,3.0,1.0,3.1,4.0,1.2,0.8,0.3,2.2,13.9,15.9,0.682,163.0,0
Bilge Pekak,0.6818181818181818,30.6,5.5,0.1,2.7,1.7,6.4,2.7,1.3,0.8,0.3,2.1,13.8,16.4,0.682,163.0,0
Alfredas Kijajevas,0.8181818181818182,32.9,5.3,0.9,2.1,0.7,2.2,3.1,0.7,0.6,0.3,0.7,13.6,14.6,0.273,-124.0,0
Jimmy FjÃ¤llborg,0.8181818181818182,32.6,5.7,0.2,1.9,3.2,12.6,1.8,1.2,0.6,1.6,2.0,13.4,15.8,0.636,216.0,0
Samuel Lowry,0.6818181818181818,31.2,5.1,0.8,2.3,1.6,6.4,3.0,1.4,0.9,0.6,1.9,13.3,12.2,0.455,-225.0,0
Lee Sheffield,0.9545454545454546,29.3,5.5,0.1,2.1,3.6,10.8,0.0,1.7,0.3,0.7,2.8,13.2,15.6,0.409,248.0,0
Lilianto Muaziz,0.9545454545454546,29.0,5.3,0.4,2.0,2.1,9.3,2.2,1.0,1.2,1.7,3.3,13.0,17.2,0.8640000000000001,902.0,3
Adam Laskowski,0.8181818181818182,40.9,5.2,0.3,2.2,4.8,16.3,0.9,2.8,0.6,1.1,2.2,12.9,12,0.318,-678.0,0
Kimmo Varelius,0.8181818181818182,31.3,5.4,0.5,1.5,0.9,4.6,3.3,1.1,0.7,0.6,2.4,12.8,15.4,0.955,865.0,0
Kirilas Å cegauskas,0.9545454545454546,25.9,4.7,0.8,2.5,0.8,3.7,3.1,0.6,0.8,0.9,1.8,12.7,14.3,0.8640000000000001,902.0,0
KazimieÅ¾as Cernys,1.0,20.3,4.9,0.3,2.5,2.2,7.3,0.9,0.9,0.5,1.2,1.1,12.5,15.6,0.364,-30.0,0
Joseph Hamel,0.9090909090909091,33.6,5.1,0.3,1.8,1.8,8.4,1.2,1.7,0.6,0.9,2.0,12.4,14.2,0.636,216.0,0
Abba Kattani,0.8181818181818182,22.8,5.3,0.2,1.6,1.2,5.4,1.8,0.8,0.8,0.5,1.3,12.3,14.4,0.682,163.0,0
Wilbert Kramer,0.7727272727272727,34.2,4.4,0.8,2.5,0.4,3.4,5.9,0.8,1.3,0.3,1.4,12.1,16.8,0.636,216.0,0
Krasimir Rusetzki,0.8181818181818182,29.7,4.6,0.7,2.3,0.8,2.8,3.1,0.6,0.4,0.9,1.8,12.1,15.6,0.8640000000000001,902.0,0
SÃ©bastien Louiset,0.7727272727272727,34.0,4.9,0.5,1.6,1.6,5.3,2.8,1.2,0.5,0.3,1.0,12.0,12.3,0.273,-124.0,0
George Slininger,0.9090909090909091,29.1,4.9,0.6,1.6,1.8,7.8,2.2,1.4,1.1,0.4,2.3,12.0,13,0.636,216.0,0
Rex Schmitz,0.9545454545454546,25.5,5.2,0.5,1.0,1.3,6.9,2.0,1.0,0.1,0.7,1.3,11.9,15.2,0.409,248.0,0
Jonathan Battle,0.7272727272727273,25.1,4.6,0.7,2.0,0.9,2.8,1.5,1.0,0.6,0.5,1.9,11.8,14.3,0.636,216.0,0
Marcelino CantÃº,0.7272727272727273,31.3,4.9,0.4,1.4,1.8,11.0,2.9,1.5,0.6,1.2,2.7,11.5,16.1,0.5,266.0,0
Sherwood Crisp,0.8181818181818182,23.5,4.5,0.4,2.1,1.8,8.9,1.1,1.2,0.5,1.2,2.3,11.5,16.1,0.636,216.0,0
Fredrick Gomez,0.8181818181818182,27.6,4.7,0.2,1.8,2.1,11.4,2.5,1.1,0.4,1.7,1.0,11.4,17.6,0.727,568.0,0
Bertran Medeiros,1.0,36.8,10.1,1.1,2.9,0.8,4.2,2.8,1.1,1.3,0.3,1.3,24.3,16.3,0.727,179.0,82
Aubrey Bliss,1.0,37.4,10.1,0.3,3.2,4.3,15.5,4.0,1.5,1.1,0.7,2.0,23.7,18.5,0.636,358.0,192
Stuart Vereker,0.9545454545454546,36.4,9.1,0.1,1.8,2.6,11.0,2.2,1.8,0.9,1.0,1.8,20.1,16.2,0.727,518.0,101
Marinel Alecu,0.7272727272727273,38.0,7.4,0.8,4.1,0.7,3.5,4.6,0.7,1.1,0.0,2.7,19.8,16.9,0.636,322.0,0
Tanner Winn,0.9545454545454546,38.5,8.2,0.9,1.9,3.5,12.7,4.0,1.5,0.5,0.8,1.1,19.2,16.9,0.5,221.0,1
Arthur Glass,0.7272727272727273,28.7,7.2,1.6,2.8,0.7,2.0,2.2,0.4,1.0,0.1,1.0,18.8,17.9,0.773,300.0,0
Yetis Esentimur,0.7272727272727273,42.5,7.6,0.3,2.8,2.6,8.9,2.2,2.9,0.7,0.2,1.5,18.3,11,0.22699999999999998,-294.0,0
Francesco Pazzaglia,0.8181818181818182,41.5,7.6,0.8,1.9,1.6,6.1,4.9,1.2,0.9,0.6,2.2,18.0,15.3,0.455,-182.0,0
Fredrick Gomez,0.9090909090909091,31.9,7.2,0.4,2.5,4.0,12.7,2.6,1.6,0.7,1.4,2.0,17.3,18.1,0.727,518.0,85
Lilianto Muaziz,0.9090909090909091,27.7,7.0,0.2,3.2,1.7,8.4,2.0,1.0,0.4,1.2,2.8,17.3,17.9,0.8640000000000001,727.0,39
Ilya Sivko,0.8181818181818182,33.1,7.3,0.2,2.4,3.8,11.7,0.6,1.7,0.8,0.6,1.9,17.2,16.5,0.545,304.0,0
JosuÃ© Foreman,0.6818181818181818,39.1,6.9,1.8,1.5,1.0,3.9,3.1,1.2,0.8,0.5,0.9,17.1,14.4,0.455,-182.0,0
Kimmo Varelius,0.7727272727272727,33.5,6.8,1.0,2.1,0.8,4.1,2.3,0.6,0.9,0.4,2.3,16.8,15.8,0.773,300.0,0
Peter Mathiasson,1.0,37.1,7.0,0.6,2.0,1.5,4.5,3.9,0.7,0.7,0.5,2.8,16.7,15.7,0.636,322.0,0
Peng Than Pong,0.8636363636363636,32.5,7.1,1.4,1.1,1.0,4.2,1.8,1.3,0.9,0.3,2.2,16.6,15.4,0.22699999999999998,-297.0,0
Rex Schmitz,1.0,31.3,7.5,0.4,0.9,2.2,9.2,3.4,0.6,0.8,0.6,1.9,16.4,15.9,0.636,358.0,10
Philip Hunter,0.7727272727272727,39.7,6.1,1.6,2.2,0.5,2.4,4.8,1.2,1.1,0.1,2.8,16.1,14.5,0.545,304.0,0
Rudy Higgins,0.7727272727272727,33.3,6.9,0.5,1.2,1.0,6.1,2.5,1.7,0.6,0.2,1.5,15.6,16.8,0.545,120.0,0
Apostolos Providas,0.9090909090909091,39.3,5.8,0.8,2.9,0.7,3.2,3.3,1.9,1.4,0.1,1.8,15.2,14.7,0.727,179.0,0
Fabrizio Chiosi,0.7727272727272727,34.1,6.9,0.1,1.2,2.7,11.9,3.0,1.6,0.7,1.1,2.1,15.1,15.8,0.545,120.0,0
Antoine Alfred,0.8636363636363636,36.8,6.0,0.7,2.4,1.5,5.6,1.9,1.4,0.6,0.6,2.2,15.1,12.9,0.455,-182.0,0
Travis Harmon,0.9090909090909091,33.3,6.0,0.7,2.4,1.0,3.2,3.2,1.0,1.1,0.0,1.8,15.0,14.9,0.5,-2.0,0
Christophe Millon,0.9545454545454546,37.7,5.3,1.1,3.0,1.5,5.0,3.8,1.2,1.0,0.1,3.4,14.8,14.9,0.409,85.0,0
Alfonso GÃ³mez de Espinosa,0.9545454545454546,37.2,6.1,0.4,2.0,1.3,5.4,1.5,1.7,1.0,0.6,3.8,14.8,14.7,0.409,85.0,0
Zhang Kangen,0.6818181818181818,30.7,6.3,0.4,1.7,1.5,5.1,2.5,1.2,0.9,0.2,0.9,14.7,16.3,0.22699999999999998,-234.0,0
Chen Ziquan,0.9545454545454546,41.5,6.1,0.2,2.0,3.3,12.5,2.8,1.6,0.5,1.0,1.9,14.5,15.9,0.409,85.0,0
Ngan Gan Goo,0.8181818181818182,35.9,5.7,0.8,2.2,0.7,3.2,4.4,1.1,1.1,0.1,3.6,14.4,15.5,0.727,179.0,0
Stoyan Moskov,0.8636363636363636,32.9,5.0,1.1,3.2,0.6,2.4,4.9,1.2,1.0,0.2,2.5,14.3,17,0.773,300.0,0
Larry Dunham,0.9545454545454546,33.6,5.6,0.2,2.3,1.8,6.4,2.1,0.9,1.0,0.3,2.1,13.6,15.3,0.636,358.0,0
Lee Atkins,0.8636363636363636,34.2,5.6,0.3,2.0,1.3,4.5,4.5,1.1,0.8,0.3,0.9,13.5,15.1,0.727,518.0,0
Lloyd Forbes,0.6818181818181818,35.9,5.4,0.3,2.2,2.7,12.7,2.8,2.0,0.5,1.3,2.3,13.3,15.1,0.727,179.0,0
Riley Rojas,0.8181818181818182,27.5,4.9,1.1,2.4,0.8,3.1,2.4,0.8,1.2,0.4,2.2,13.3,16.5,0.773,300.0,0
Lewis Bellamy,0.8181818181818182,34.5,5.4,1.1,1.4,2.2,11.3,3.1,1.9,1.1,0.9,2.6,13.3,14.5,0.455,-182.0,0
Sherwood Crisp,0.9090909090909091,26.7,5.2,0.2,2.6,2.6,9.8,1.6,1.2,0.4,1.0,2.4,13.2,14.3,0.545,304.0,0
Makis Kasselas,0.9090909090909091,37.0,5.3,0.2,2.1,3.7,14.2,0.4,3.4,0.5,1.4,2.3,12.9,16.4,0.545,120.0,0
Jimmy FjÃ¤llborg,0.8636363636363636,29.8,5.2,0.4,2.1,2.1,10.2,1.7,1.4,0.3,0.9,1.9,12.9,15.5,0.545,304.0,0
Ioannis Liras,0.8636363636363636,33.4,5.4,0.1,2.1,3.7,12.4,2.2,1.7,0.4,0.6,3.1,12.9,14.5,0.22699999999999998,-234.0,0
Darrell Starkey,0.8636363636363636,30.6,5.4,0.4,1.6,2.4,8.2,2.2,1.4,1.2,0.6,1.1,12.8,14.4,0.636,322.0,0
Pichet Konthai,1.0,34.2,5.5,0.2,1.5,3.0,12.6,2.5,1.4,0.9,0.8,3.4,12.8,16.2,0.636,322.0,2
Leonardo PÃ©rez,0.9545454545454546,29.9,5.4,0.3,1.3,2.3,8.2,3.1,1.1,0.8,0.1,1.6,12.5,17.5,0.727,518.0,0
Ahmad Abu-Hossein,0.9545454545454546,30.3,5.2,0.2,1.5,2.9,9.0,1.1,2.4,0.8,0.5,3.3,12.2,13.8,0.22699999999999998,-234.0,0
Efrain Bartlett,1.0,28.0,5.2,0.4,1.4,2.1,7.4,2.6,1.0,0.7,0.2,1.7,12.1,13.5,0.5,221.0,0
Romain Detrait,0.9545454545454546,31.1,5.2,0.0,1.5,3.0,10.2,1.6,1.3,0.8,1.2,2.5,12.0,15.4,0.636,322.0,0
Efelau Retuerta,0.9545454545454546,23.3,4.7,0.4,2.1,1.3,7.0,1.8,1.0,0.8,0.7,2.1,11.9,16.1,0.8640000000000001,727.0,0
Humberto Pastrana,0.9545454545454546,26.1,5.0,0.2,1.5,2.0,8.3,2.4,1.3,0.7,0.5,0.9,11.8,13.4,0.727,518.0,0
Alfredas Kijajevas,0.8636363636363636,35.6,4.8,0.7,1.4,0.8,2.0,4.0,0.6,1.3,0.0,1.1,11.8,14.9,0.22699999999999998,-234.0,0
ErdinÃ§ Taran,0.7727272727272727,31.1,4.8,0.3,1.9,3.0,13.5,3.1,0.8,0.8,0.6,2.2,11.7,17.5,0.773,300.0,0
IsmaÃ«l Laval,0.7272727272727273,34.3,4.9,0.1,1.9,1.3,3.6,3.3,1.9,0.9,0.1,3.9,11.7,14.2,0.22699999999999998,-294.0,0
Edmondo Gamalero,0.9545454545454546,21.1,5.2,0.2,1.0,1.5,6.0,0.6,1.0,0.6,0.9,1.8,11.7,16.9,0.409,85.0,0
Grzegorz Pigwa,0.9545454545454546,37.7,4.0,0.4,3.2,0.9,2.8,4.1,1.2,1.2,0.7,3.2,11.6,14.5,0.5,221.0,0
Rafael Villegas,0.9545454545454546,40.9,10.4,0.4,3.4,3.5,14.0,0.7,2.0,0.9,1.0,2.5,24.5,17.3,0.727,354.0,122
Tanner Winn,0.8636363636363636,39.4,10.6,0.5,2.1,4.4,15.3,3.6,1.2,0.7,0.7,1.5,23.7,17.8,0.5,-96.0,34
Arthur Glass,0.9090909090909091,38.1,9.4,2.8,1.9,0.8,3.2,3.8,1.2,1.4,0.2,2.0,23.6,17.3,0.636,232.0,51
Aubrey Bliss,0.9545454545454546,36.7,9.5,0.3,3.3,3.3,13.9,2.7,1.4,0.9,1.0,1.4,22.6,18.2,0.818,447.0,192
Ilya Sivko,0.9545454545454546,36.1,9.0,0.7,2.4,4.3,13.0,0.5,1.3,0.6,0.2,1.4,21.1,16.8,0.091,-592.0,0
Antoine Phillips,1.0,34.5,8.8,0.4,3.1,2.3,9.5,0.7,1.5,0.5,0.7,3.2,21.0,16.1,0.545,-21.0,0
Bertran Medeiros,0.7727272727272727,33.4,8.0,0.9,2.6,0.4,2.8,2.4,1.4,0.6,0.1,1.0,19.5,15.4,0.364,-161.0,0
Rex Schmitz,0.9545454545454546,36.2,8.2,0.8,2.0,3.0,11.5,3.2,1.1,0.5,1.0,2.0,19.2,15.9,0.818,447.0,99
Donnell Trotter,0.7727272727272727,39.4,7.9,1.7,1.6,0.8,3.9,5.4,0.9,1.0,0.1,2.2,19.2,17.3,0.591,224.0,1
Alcadio Valle,0.9090909090909091,34.0,6.9,2.7,1.9,1.0,3.6,3.8,1.4,1.2,0.4,2.8,18.4,17.4,0.545,203.0,0
Phil Forte,0.9090909090909091,42.3,7.2,0.4,3.0,3.8,13.1,2.0,2.4,0.6,0.9,3.5,17.9,15.7,0.364,-161.0,0
Fabrizio Chiosi,0.8636363636363636,36.7,7.6,0.5,2.0,3.1,12.4,2.5,1.4,0.5,0.6,1.6,17.8,15.5,0.545,-17.0,0
Louis Russell,0.9545454545454546,34.0,7.3,0.8,2.0,3.0,12.3,1.1,1.7,0.8,1.0,1.9,17.5,15.8,0.636,144.0,6
Darrell Starkey,0.8636363636363636,35.2,7.5,0.7,1.7,1.9,5.8,1.6,1.4,0.7,0.5,1.6,17.4,14.5,0.22699999999999998,-419.0,0
